id,weights,attention_to_politics,pres_vote,economy,immigration,crime,party_id,age,educ,race,gender,income
140163,0.362378057371496,Most of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Not very strong Democrat,75,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,37500
140166,0.218942592885824,Always,Kamala Harris,Approve strongly,Approve not strongly,Approve strongly,Not very strong Democrat,32,Graduate degree,"White, non-Hispanic",Man,212500
140167,0.651326424157463,About half the time,NA,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,26,Bachelor’s degree,Hispanic,Woman,42500
140168,0.345308976380599,Always,Kamala Harris,Approve not strongly,Approve not strongly,Approve not strongly,Strong Democrat,76,Graduate degree,"White, non-Hispanic",Woman,117500
140169,0.6379908365635,Always,Kamala Harris,Approve not strongly,Disapprove not strongly,Disapprove not strongly,Independent-Republican,67,Bachelor’s degree,"White, non-Hispanic",Man,212500
140171,0.80569007818756,Always,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,64,High school credential,"White, non-Hispanic",Man,11250
140172,2.04074160895047,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,52,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Man,85000
140173,0.16665313906662,Most of the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Strong Republican,73,Graduate degree,"White, non-Hispanic",Woman,85000
140175,0.977503395272334,About half the time,Donald Trump,Disapprove strongly,Disapprove strongly,Disapprove strongly,Independent-Republican,80,"Some post-high school, no bachelor’s degree","White, non-Hispanic",Woman,42500
140176,0.647105998408028,Some of the time,Kamala Harris,Approve strongly,Approve strongly,Approve strongly,Strong Democrat,52,Bachelor’s degree,"Black, non-Hispanic",Woman,72500
140177,0.37477559261454,Most of the time,Kamala Harris,Approve strongly,Approve not strongly,Approve not strongly,Strong Democrat,51,"Some post-high school, no bachelor’s degree","Black, non-Hispanic",Woman,21250
