congress,bioname,state_abbrev,district_code,party,nominate_dim1,nominate_dim2
102,"SAXTON, Hugh James",NJ,13,Republican,0.238,-0.378
102,"PALLONE, Frank, Jr.",NJ,3,Democrat,-0.402,-0.162
102,"PAYNE, Donald Milford",NJ,10,Democrat,-0.592,-0.547
102,"ANDREWS, Robert Ernest",NJ,1,Democrat,-0.297,-0.119
102,"ZIMMER, Richard",NJ,12,Republican,0.27,-0.963
102,"SKEEN, Joseph Richard",NM,2,Republican,0.301,0.034
102,"RICHARDSON, Bill",NM,3,Democrat,-0.321,0.227
102,"SCHIFF, Steven Harvey",NM,1,Republican,0.196,-0.261
102,"HORTON, Frank Jefferson",NY,29,Republican,-0.004,-0.359
102,"SCHEUER, James Haas",NY,8,Democrat,-0.478,-0.349
102,"FISH, Hamilton, Jr.",NY,21,Republican,0.07,-0.423
102,"LENT, Norman Frederick",NY,4,Republican,0.183,-0.24
102,"RANGEL, Charles B.",NY,16,Democrat,-0.514,-0.341
102,"GILMAN, Benjamin Arthur",NY,22,Republican,0.043,-0.425
102,"DOWNEY, Thomas Joseph",NY,2,Democrat,-0.384,-0.341
102,"LaFALCE, John Joseph",NY,32,Democrat,-0.357,0.112
102,"McHUGH, Matthew Francis",NY,28,Democrat,-0.353,-0.227
102,"NOWAK, Henry James",NY,33,Democrat,-0.332,-0.123
102,"SOLARZ, Stephen Joshua",NY,13,Democrat,-0.429,-0.258
102,"WEISS, Theodore S.",NY,17,Democrat,-0.564,-0.71
102,"GREEN, Sedgwick William (Bill)",NY,15,Republican,-0.044,-0.733
102,"SOLOMON, Gerald Brooks Hunt",NY,24,Republican,0.492,-0.333
102,"MARTIN, David O'Brien",NY,26,Republican,0.232,-0.232
102,"McGRATH, Raymond Joseph",NY,5,Republican,0.185,-0.45
102,"SCHUMER, Charles Ellis (Chuck)",NY,10,Democrat,-0.355,-0.418
102,"ACKERMAN, Gary Leonard",NY,7,Democrat,-0.429,-0.165
102,"BOEHLERT, Sherwood Louis",NY,25,Republican,0.103,-0.718
102,"MRAZEK, Robert Jan",NY,3,Democrat,-0.349,-0.281
102,"OWENS, Major Robert Odell",NY,12,Democrat,-0.569,-0.516
102,"TOWNS, Edolphus",NY,11,Democrat,-0.519,-0.132
102,"MANTON, Thomas J.",NY,9,Democrat,-0.361,0.382
102,"FLAKE, Floyd Harold",NY,6,Democrat,-0.455,-0.092
102,"HOCHBRUECKNER, George Joseph",NY,1,Democrat,-0.348,0.117
102,"HOUGHTON, Amory, Jr.",NY,34,Republican,0.154,-0.281
102,"SLAUGHTER, Louise McIntosh",NY,30,Democrat,-0.465,-0.104
102,"ENGEL, Eliot Lance",NY,19,Democrat,-0.408,-0.093
102,"LOWEY, Nita M.",NY,20,Democrat,-0.389,-0.152
102,"McNULTY, Michael Robert",NY,23,Democrat,-0.369,0.369
102,"PAXON, L. William",NY,31,Republican,0.472,-0.167
102,"WALSH, James T.",NY,27,Republican,0.208,-0.19
102,"MOLINARI, Susan",NY,14,Republican,0.256,-0.5
102,"SERRANO, José E.",NY,18,Democrat,-0.491,-0.377
102,"JONES, Walter Beaman, Sr.",NC,1,Democrat,-0.259,0.941
102,"ROSE, Charles Grandison, III",NC,7,Democrat,-0.319,0.573
102,"HEFNER, Willie Gathrel (Bill)",NC,8,Democrat,-0.264,0.609
102,"NEAL, Stephen Lybrook",NC,5,Democrat,-0.145,0.112
102,"VALENTINE, Itimous Thaddeus, Jr., (Tim)",NC,2,Democrat,-0.084,0.465
102,"COBLE, Howard",NC,6,Republican,0.52,-0.081
102,"McMILLAN, John Alexander, III (Alex)",NC,9,Republican,0.294,-0.248
102,"BALLENGER, Cass",NC,10,Republican,0.464,-0.145
102,"LANCASTER, H. Martin",NC,3,Democrat,-0.134,0.416
102,"PRICE, David Eugene",NC,4,Democrat,-0.343,-0.03
102,"TAYLOR, Charles Hart",NC,11,Republican,0.488,0.116
102,"DORGAN, Byron Leslie",ND,1,Democrat,-0.267,0.09
102,"MILLER, Clarence E.",OH,10,Republican,0.416,-0.304
102,"WYLIE, Chalmers Pangburn",OH,15,Republican,0.23,-0.13
102,"STOKES, Louis",OH,21,Democrat,-0.578,-0.312
102,"REGULA, Ralph Straus",OH,16,Republican,0.221,-0.223
102,"GRADISON, Willis David, Jr.",OH,2,Republican,0.233,-0.338
102,"APPLEGATE, Douglas Earl",OH,18,Democrat,-0.106,0.166
102,"OAKAR, Mary Rose",OH,20,Democrat,-0.4,0.07
102,"PEASE, Donald James",OH,13,Democrat,-0.308,-0.329
102,"HALL, Tony Patrick",OH,3,Democrat,-0.28,0.155
102,"ECKART, Dennis Edward",OH,11,Democrat,-0.242,-0.258
102,"McEWEN, Bob",OH,6,Republican,0.359,0.089
102,"OXLEY, Michael Garver",OH,4,Republican,0.382,-0.093
102,"FEIGHAN, Edward Farrell",OH,19,Democrat,-0.304,-0.267
102,"KAPTUR, Marcia Carolyn (Marcy)",OH,9,Democrat,-0.343,0.132
102,"KASICH, John Richard",OH,12,Republican,0.314,0.013
102,"TRAFICANT, James A., Jr.",OH,17,Democrat,-0.082,0.071
102,"SAWYER, Thomas Charles",OH,14,Democrat,-0.377,-0.114
